"","Province_State","Country_Region","Date","Confirmed","Deaths","Recovered"
"829","HI","US",2020-03-17,10,0,0
"830","MT","US",2020-03-17,9,0,0
"831","ID","US",2020-03-17,8,0,0
"832","PR","US",2020-03-17,5,0,0
"833","AK","US",2020-03-17,3,0,0
"834","GU","US",2020-03-17,3,0,0
"835","ND","US",2020-03-17,3,0,0
"836","VI","US",2020-03-17,2,0,0
"837","WV","US",2020-03-17,1,0,0
"838","NY","US",2020-03-18,2495,16,0
"839","WA","US",2020-03-18,1014,55,0
"840","CA","US",2020-03-18,751,13,0
"841","FL","US",2020-03-18,314,7,0
"842","NJ","US",2020-03-18,267,3,0
"843","LA","US",2020-03-18,257,4,0
"844","MA","US",2020-03-18,218,0,0
"845","GA","US",2020-03-18,199,3,0
"846","CO","US",2020-03-18,184,2,0
"847","TX","US",2020-03-18,173,3,0
"848","IL","US",2020-03-18,162,1,0
"849","PA","US",2020-03-18,152,0,0
"850","WI","US",2020-03-18,92,0,0
"851","OH","US",2020-03-18,86,0,0
"852","MD","US",2020-03-18,85,0,0
"853","MI","US",2020-03-18,83,0,0
"854","TN","US",2020-03-18,79,0,0
"855","MN","US",2020-03-18,77,0,0
"856","VA","US",2020-03-18,77,2,0
"857","NC","US",2020-03-18,70,0,0
"858","CT","US",2020-03-18,68,0,0
"859","OR","US",2020-03-18,68,2,0
"860","NV","US",2020-03-18,55,1,0
"861","UT","US",2020-03-18,51,0,0
"862","SC","US",2020-03-18,47,1,0
"863","AL","US",2020-03-18,46,0,0
"864","ME","US",2020-03-18,42,0,0
"865","IN","US",2020-03-18,39,2,0
"866","MS","US",2020-03-18,34,0,0
"867","AR","US",2020-03-18,33,0,0
"868","RI","US",2020-03-18,33,0,0
"869","DC","US",2020-03-18,31,0,0
"870","IA","US",2020-03-18,29,0,0
"871","AZ","US",2020-03-18,27,0,0
"872","KY","US",2020-03-18,27,1,0
"873","NH","US",2020-03-18,26,0,0
"874","NE","US",2020-03-18,24,0,0
"875","NM","US",2020-03-18,23,0,0
"876","DE","US",2020-03-18,19,0,0
"877","OK","US",2020-03-18,19,0,0
"878","KS","US",2020-03-18,18,1,0
"879","MO","US",2020-03-18,18,0,0
"880","VT","US",2020-03-18,18,0,0
"881","WY","US",2020-03-18,15,0,0
"882","HI","US",2020-03-18,14,0,0
"883","MT","US",2020-03-18,11,0,0
"884","SD","US",2020-03-18,11,1,0
"885","ID","US",2020-03-18,9,0,0
"886","AK","US",2020-03-18,6,0,0
"887","ND","US",2020-03-18,6,0,0
"888","GU","US",2020-03-18,5,0,0
"889","PR","US",2020-03-18,5,0,0
"890","VI","US",2020-03-18,2,0,0
"891","WV","US",2020-03-18,1,0,0
"892","NY","US",2020-03-19,5365,34,0
"893","WA","US",2020-03-19,1376,74,0
"894","CA","US",2020-03-19,952,18,0
"895","NJ","US",2020-03-19,742,9,0
"896","IL","US",2020-03-19,422,4,0
